date,venue_name,set1,set2,set3,encore
07/15/2023,"Oracle Park, San Francisco, CA, USA","['Good Times', 'Hell in a Bucket', 'It Hurts Me Too', 'Jack Straw', 'Big Railroad Blues', 'Cassidy', 'They Love Each Other', 'Turn On Your Love Light']","['Deal', 'Playing in the Band', 'The Other One', 'Terrapin Station', 'Drums', 'Space', ""Uncle John's Band"", 'Morning Dew']",[],['Ripple']
07/14/2023,"Oracle Park, San Francisco, CA, USA","['Not Fade Away', 'Shakedown Street', 'Cold Rain and Snow', 'Ramble On Rose', 'Brown-Eyed Women', 'New Speedway Boogie', 'Wharf Rat', ""Don't Ease Me In""]","['China Cat Sunflower', 'I Know You Rider', ""He's Gone"", 'Scarlet Begonias', 'Fire on the Mountain', 'Drums', 'Space', 'Dark Star on the Big River Jam', 'Standing on the Moon', 'Casey Jones', 'U.S. Blues', ""Knockin' on Heaven's Door""]",[],[]
07/08/2023,"The Gorge Amphitheatre, George, WA, USA","['Mississippi Half-Step Uptown Toodeloo', 'Here Comes Sunshine', 'Next Time You See Me', 'Loose Lucy', 'Friend of the Devil', 'They Love Each Other', 'Lost Sailor', 'Saint of Circumstance']","['Playing in the Band', 'The Wheel', 'St. Stephen', 'The Eleven', 'Drums', 'Space', 'Dark Star', 'Althea', 'Stella Blue', 'One More Saturday Night']",[],[]
07/07/2023,"The Gorge Amphitheatre, George, WA, USA","['The Music Never Stopped', 'Alabama Getaway', 'When I Paint My Masterpiece', 'Mr. Charlie', 'Tennessee Jed', 'Dire Wolf', 'Bird Song', 'Big Railroad Blues']","['Sugaree', 'Estimated Prophet', 'Scarlet Begonias', 'Viola Lee Blues', 'Dark Star', 'Drums', 'Space', 'Cumberland Blues', 'Black Peter', 'Casey Jones']",[],['Black Muddy River']
07/03/2023,"Folsom Field, Boulder, CO, USA","['Bertha', 'New Speedway Boogie', 'Cold Rain and Snow', 'Jack Straw', 'Althea', 'Playing in the Band']","[""Uncle John's Band"", 'Help on the Way', 'Slipknot!', ""Franklin's Tower"", ""He's Gone"", 'The Other One', 'Drums', 'Space', 'Standing on the Moon', 'All Along the Watchtower', 'Not Fade Away']",[],"[""Knockin' on Heaven's Door"", 'The Weight']"
07/02/2023,"Folsom Field, Boulder, CO, USA","['Feel Like a Stranger', 'Brown-Eyed Women', 'Samson and Delilah', 'Friend of the Devil', 'It Hurts Me Too', 'Ramble On Rose', 'High Time', 'Let It Grow']","['They Love Each Other', 'China Cat Sunflower', 'I Know You Rider', 'Fire on the Mountain', 'The Other One', 'Drums', 'Space', 'The Eleven', 'U.S. Blues', 'Morning Dew']",[],['Ripple']
07/01/2023,"Folsom Field, Boulder, CO, USA","['Good Times', ""Truckin'"", 'Smokestack Lightning', 'Deal', 'Me and My Uncle', 'Dear Mr. Fantasy', 'Hey Jude', 'Terrapin Station', ""Don't Ease Me In""]","['Eyes of the World', 'Shakedown Street', 'St. Stephen', 'Cumberland Blues', 'Drums', 'Space', 'Milestones', 'Days Between', 'Sugar Magnolia', 'Scarlet Begonias', 'Sunshine Daydream']",[],['Going Down the Road Feeling Bad']
06/27/2023,"Ruoff Music Center, Noblesville, IN, USA","['Bertha', ""Good Lovin'"", 'It Must Have Been the Roses', 'Big River', 'Dark Star', 'Next Time You See Me', 'Mississippi Half-Step Uptown Toodeloo', 'Bird Song', ""Don't Ease Me In""]","['Iko Iko', 'Sugaree', 'China Cat Sunflower', 'I Know You Rider', ""Uncle John's Band"", 'Drums', 'Space', 'Hell in a Bucket', 'Wharf Rat', 'Turn On Your Love Light', 'Touch of Grey']",[],[]
06/25/2023,"Fenway Park, Boston, MA, USA","['Samson and Delilah', 'Cold Rain and Snow', 'Jack Straw', 'Althea', 'Comes a Time', 'Mr. Charlie', ""He's Gone"", 'Going Down the Road Feeling Bad']","['They Love Each Other', 'Playing in the Band', 'Help on the Way', 'Slipknot!', 'Fire on the Mountain', 'Drums', 'Space', 'The Other One', 'Standing on the Moon', 'Not Fade Away']",[],"['The Weight', 'Ripple']"
06/24/2023,"Fenway Park, Boston, MA, USA","['Cassidy', 'Brown-Eyed Women', 'I Need a Miracle', 'Here Comes Sunshine', 'Tennessee Jed', 'China Doll', 'Viola Lee Blues', 'The Music Never Stopped']","['New Speedway Boogie', 'Dark Star', 'The Other One', 'Terrapin Station', 'Drums', 'Space', 'Dark Star on the Big River Jam', 'Black Peter', 'Casey Jones', 'One More Saturday Night']",[],[]
06/22/2023,"Citi Field, Queens, NY, USA","['Feel Like a Stranger', ""Franklin's Tower"", 'Mama Tried', 'Alabama Getaway', 'Dear Mr. Fantasy', 'Hey Jude', ""Truckin'"", 'Deal']","['Scarlet Begonias', 'Fire on the Mountain', 'Estimated Prophet', 'Eyes of the World', 'Drums', 'Space', 'All Blues', 'Cumberland Blues', 'All Along the Watchtower', 'Morning Dew']",[],['Brokedown Palace']
06/21/2023,"Citi Field, Queens, NY, USA","['Shakedown Street', 'Bertha', 'Ramble On Rose', 'It Hurts Me Too', 'Dancing in the Street', 'Althea', 'Let It Grow']","['China Cat Sunflower', 'I Know You Rider', 'St. Stephen', ""Uncle John's Band"", 'Drums', 'Space', 'The Eleven', 'Stella Blue', 'U.S. Blues', 'Black Muddy River']",[],[]
06/18/2023,"Saratoga Performing Arts Center, Saratoga Springs, NY, USA","['Hell in a Bucket', 'Sugaree', 'Mississippi Half-Step Uptown Toodeloo', 'Mr. Charlie', 'Friend of the Devil', 'Lost Sailor', 'Saint of Circumstance', 'Big Railroad Blues']","['Samson and Delilah', 'Playing in the Band', 'Help on the Way', 'Slipknot!', ""Franklin's Tower"", 'Drums', 'Space', ""Death Don't Have No Mercy"", 'Throwing Stones', 'Sugar Magnolia']",[],['Werewolves of London']
06/17/2023,"Saratoga Performing Arts Center, Saratoga Springs, NY, USA","['Good Times', 'Scarlet Begonias', 'Deal', 'Black-Throated Wind', 'Dire Wolf', 'Bird Song', 'Going Down the Road Feeling Bad']","['They Love Each Other', 'Terrapin Station', ""He's Gone"", 'The Other One', 'Drums', 'Space', 'Days Between', 'Turn On Your Love Light']",[],['One More Saturday Night']
06/15/2023,"Citizens Bank Park, Philadelphia, PA, USA","['Man Smart, Woman Smarter', 'Shakedown Street', 'Cold Rain and Snow', 'Jack Straw', 'Brown-Eyed Women', 'Dark Star', 'El Paso', ""Don't Ease Me In""]","['Fire on the Mountain', 'New Speedway Boogie', 'Estimated Prophet', 'Eyes of the World', 'Drums', 'Space', 'Cumberland Blues', 'Standing on the Moon', 'Not Fade Away']",[],['Ripple']
06/13/2023,"Riverbend Music Center, Cincinnati, OH, USA","['The Music Never Stopped', 'Next Time You See Me', 'Me and My Uncle', 'Row Jimmy', 'Dear Mr. Fantasy', 'Hey Jude', 'Cassidy', 'Iko Iko']","['Here Comes Sunshine', 'Viola Lee Blues', 'Looks Like Rain', 'China Cat Sunflower', 'I Know You Rider', 'Drums', 'Space', 'The Wheel', 'Wharf Rat', 'Casey Jones']",[],['Touch of Grey']
06/10/2023,"Wrigley Field, Chicago, IL, USA","[""Truckin'"", 'Smokestack Lightning', 'Althea', 'Mississippi Half-Step Uptown Toodeloo', 'High Time', 'All Along the Watchtower', 'Bertha', ""Good Lovin'""]","['Help on the Way', 'Slipknot!', ""Franklin's Tower"", 'St. Stephen', 'Drums', 'Space', ""Uncle John's Band"", 'Cumberland Blues', 'The Other One', 'Morning Dew']",[],"['Brokedown Palace', 'Playing in the Band', 'One More Saturday Night']"
06/09/2023,"Wrigley Field, Chicago, IL, USA","['Playing in the Band', 'Deal', 'Tennessee Jed', 'It Hurts Me Too', 'Ramble On Rose', 'Brown-Eyed Women', 'Crazy Fingers', 'Dancing in the Street']","['Sugaree', 'Estimated Prophet', 'The Other One', 'Terrapin Station', 'Drums', 'Space', 'Stella Blue', 'Sugar Magnolia', 'Scarlet Begonias', 'Sunshine Daydream']",[],['U.S. Blues']
